Player Name                        ;Ping ;Kill ;Assist ;Death ;MVP ;Accuracy ;Score ;Map            ;Date                ;Wait time ;Match duration ; ; ;
Loviflo                            ;11   ;9    ;5      ;10    ;4   ;33       ;23    ;Cobblestone    ;2021-02-01 21:28:23 ;00:32     ;10:43          ; ; ;
Loviflo                            ;9    ;11   ;3      ;5     ;5   ;27       ;27    ;Vertigo        ;2021-02-01 21:16:15 ;01:07     ;09:05          ; ; ;
Ilesis                             ;12   ;9    ;1      ;3     ;4   ;44       ;20    ;Vertigo        ;2021-02-01 21:16:15 ;01:07     ;09:05          ; ; ;
El Profesor                        ;78   ;6    ;0      ;10    ;0   ;0        ;12    ;Vertigo        ;2021-02-01 21:16:15 ;01:07     ;09:05          ; ; ;
SUB-ZERO CASEDROP.eu               ;39   ;2    ;1      ;10    ;2   ;100      ;5     ;Vertigo        ;2021-02-01 21:16:15 ;01:07     ;09:05          ; ; ;
jops.                              ;11   ;13   ;0      ;6     ;6   ;42       ;30    ;Train          ;2021-02-01 21:01:59 ;00:16     ;10:31          ; ; ;
sk1lly                             ;10   ;8    ;3      ;10    ;3   ;62       ;19    ;Train          ;2021-02-01 21:01:59 ;00:16     ;10:31          ; ; ;
Loviflo                            ;16   ;11   ;2      ;11    ;4   ;36       ;26    ;Train          ;2021-02-01 21:01:59 ;00:16     ;10:31          ; ; ;
Ilesis                             ;22   ;4    ;0      ;11    ;0   ;75       ;8     ;Train          ;2021-02-01 21:01:59 ;00:16     ;10:31          ; ; ;
Simsim771                          ;43   ;13   ;0      ;9     ;7   ;30       ;28    ;Cobblestone    ;2021-02-01 20:45:51 ;01:03     ;12:22          ; ; ;
IBotDEU                            ;27   ;5    ;2      ;12    ;1   ;100      ;12    ;Cobblestone    ;2021-02-01 20:45:51 ;01:03     ;12:22          ; ; ;
Loviflo                            ;27   ;11   ;2      ;9     ;5   ;36       ;24    ;Cobblestone    ;2021-02-01 20:45:51 ;01:03     ;12:22          ; ; ;
Ilesis                             ;35   ;10   ;2      ;9     ;3   ;30       ;22    ;Cobblestone    ;2021-02-01 20:45:51 ;01:03     ;12:22          ; ; ;
Entreghian                         ;16   ;7    ;1      ;10    ;3   ;57       ;15    ;Train          ;2021-02-01 20:30:23 ;01:41     ;11:53          ; ; ;
PEACEFUL_WARRIOR                   ;24   ;2    ;1      ;10    ;1   ;0        ;5     ;Train          ;2021-02-01 20:30:23 ;01:41     ;11:53          ; ; ;
Ilesis                             ;29   ;14   ;1      ;4     ;6   ;21       ;32    ;Train          ;2021-02-01 20:30:23 ;01:41     ;11:53          ; ; ;
Loviflo                            ;30   ;6    ;4      ;5     ;3   ;16       ;16    ;Train          ;2021-02-01 20:30:23 ;01:41     ;11:53          ; ; ;
Loviflo                            ;53   ;14   ;5      ;10    ;6   ;57       ;39    ;Cobblestone    ;2021-01-31 17:46:39 ;03:19     ;12:45          ; ; ;
Ilesis                             ;37   ;7    ;1      ;9     ;2   ;42       ;15    ;Cobblestone    ;2021-01-31 17:46:39 ;03:19     ;12:45          ; ; ;
Big Chungy                         ;31   ;12   ;1      ;8     ;6   ;53       ;29    ;Cobblestone    ;2021-01-31 17:46:39 ;03:19     ;12:45          ; ; ;
Lil Rock                           ;27   ;6    ;4      ;14    ;2   ;83       ;16    ;Cobblestone    ;2021-01-31 17:46:39 ;03:19     ;12:45          ; ; ;
Французик                          ;72   ;7    ;2      ;5     ;3   ;12       ;28    ;Lake           ;2021-01-31 17:29:51 ;01:07     ;09:59          ; ; ;
ĐℛǺ₲ξ尺_ \ ᙡ /_ℳÌ                   ;62   ;10   ;1      ;5     ;6   ;20       ;23    ;Lake           ;2021-01-31 17:29:51 ;01:07     ;09:59          ; ; ;
Loviflo                            ;28   ;7    ;2      ;8     ;3   ;42       ;23    ;Lake           ;2021-01-31 17:29:51 ;01:07     ;09:59          ; ; ;
Ilesis                             ;41   ;2    ;0      ;10    ;0   ;50       ;8     ;Lake           ;2021-01-31 17:29:51 ;01:07     ;09:59          ; ; ;
Loviflo                            ;43   ;12   ;2      ;9     ;6   ;33       ;26    ;Overpass       ;2021-01-31 17:10:55 ;00:34     ;14:46          ; ; ;
Ilesis                             ;34   ;4    ;2      ;9     ;0   ;0        ;10    ;Overpass       ;2021-01-31 17:10:55 ;00:34     ;14:46          ; ; ;
whater                             ;57   ;12   ;2      ;7     ;6   ;58       ;30    ;Overpass       ;2021-01-31 17:10:55 ;00:34     ;14:46          ; ; ;
Let me Die                         ;63   ;6    ;2      ;9     ;3   ;16       ;15    ;Overpass       ;2021-01-31 17:10:55 ;00:34     ;14:46          ; ; ;
Loviflo                            ;15   ;10   ;3      ;10    ;5   ;45       ;23    ;Train          ;2021-01-30 22:08:55 ;01:03     ;11:31          ; ; ;
Ilesis                             ;25   ;7    ;3      ;11    ;0   ;0        ;17    ;Train          ;2021-01-30 22:08:55 ;01:03     ;11:31          ; ; ;
✪ Sheriff Justice ✪                ;38   ;15   ;0      ;6     ;7   ;53       ;32    ;Train          ;2021-01-30 22:08:55 ;01:03     ;11:31          ; ; ;
☛D4M1ANek☚                         ;50   ;5    ;6      ;12    ;2   ;80       ;16    ;Train          ;2021-01-30 22:08:55 ;01:03     ;11:31          ; ; ;
deadinsideスtiltedスbloodtears       ;15   ;12   ;1      ;5     ;7   ;41       ;27    ;Vertigo        ;2021-01-30 21:55:19 ;00:13     ;08:43          ; ; ;
TesachOK-                          ;27   ;8    ;2      ;8     ;2   ;25       ;21    ;Vertigo        ;2021-01-30 21:55:19 ;00:13     ;08:43          ; ; ;
Ilesis                             ;36   ;9    ;1      ;10    ;1   ;22       ;19    ;Vertigo        ;2021-01-30 21:55:19 ;00:13     ;08:43          ; ; ;
Loviflo                            ;31   ;4    ;1      ;10    ;2   ;25       ;9     ;Vertigo        ;2021-01-30 21:55:19 ;00:13     ;08:43          ; ; ;
Бетмееен                           ;46   ;8    ;0      ;9     ;2   ;50       ;18    ;Nuke           ;2021-01-30 21:43:27 ;01:47     ;09:04          ; ; ;
neonox                             ;186  ;0    ;2      ;11    ;0   ;0        ;2     ;Nuke           ;2021-01-30 21:43:27 ;01:47     ;09:04          ; ; ;
